,time,Global_Temp
175,1894-08-15,-0.07013643
176,1894-09-15,-0.1508862
177,1894-10-15,-0.12090027
178,1894-11-15,-0.21221632
179,1894-12-15,-0.122601055
180,1895-01-15,-0.30443743
181,1895-02-15,-0.32391575
182,1895-03-15,-0.25577527
183,1895-04-15,-0.09089331
184,1895-05-15,-0.16476524
185,1895-06-15,-0.07503293
186,1895-07-15,-0.0368875
187,1895-08-15,-0.09469509
188,1895-09-15,-0.038670987
189,1895-10-15,-0.026045261
190,1895-11-15,-0.082830206
191,1895-12-15,-0.09735083
192,1896-01-15,-0.2526325
193,1896-02-15,-0.080515265
194,1896-03-15,-0.28064033
195,1896-04-15,-0.37955722
196,1896-05-15,-0.117325
197,1896-06-15,0.046006396
198,1896-07-15,0.056006357
199,1896-08-15,0.022092499
200,1896-09-15,0.026950864
201,1896-10-15,0.17548904
202,1896-11-15,-0.014439561
203,1896-12-15,-0.08375874
204,1897-01-15,-0.16296269
205,1897-02-15,-0.2798892
206,1897-03-15,-0.16374333
207,1897-04-15,0.0024673932
208,1897-05-15,0.13424
209,1897-06-15,-0.011264337
210,1897-07-15,0.046299573
211,1897-08-15,-0.021142459
212,1897-09-15,-0.057774715
213,1897-10-15,-0.068795726
214,1897-11-15,-0.113409184
215,1897-12-15,-0.041722596
216,1898-01-15,-0.03396455
217,1898-02-15,-0.35717523
218,1898-03-15,-0.35816953
219,1898-04-15,-0.14435369
220,1898-05-15,-0.17593977
221,1898-06-15,-0.037514698
222,1898-07-15,-0.088422
223,1898-08-15,-0.11031592
224,1898-09-15,-0.08021268
225,1898-10-15,-0.23451196
226,1898-11-15,-0.3767
227,1898-12-15,-0.28047067
228,1899-01-15,-0.1427254
229,1899-02-15,-0.34449255
230,1899-03-15,-0.3275754
231,1899-04-15,-0.09804489
232,1899-05-15,-0.16114351
233,1899-06-15,-0.19297469
234,1899-07-15,-0.081582025
235,1899-08-15,-0.023963308
236,1899-09-15,0.016437264
237,1899-10-15,0.03895384
238,1899-11-15,0.20512043
239,1899-12-15,-0.2220342
240,1900-01-15,-0.38072762
241,1900-02-15,0.043800283
242,1900-03-15,0.16902433
243,1900-04-15,-0.03614348
244,1900-05-15,-0.0048568724
245,1900-06-15,-0.037588004
246,1900-07-15,-0.07127978
247,1900-08-15,-0.03061019
248,1900-09-15,-0.017280316
249,1900-10-15,0.14038882
250,1900-11-15,-0.018818865
251,1900-12-15,-0.12699409
252,1901-01-15,-0.245939
253,1901-02-15,0.08358918
254,1901-03-15,0.19537142
255,1901-04-15,0.07955846
256,1901-05-15,-0.07920106
257,1901-06-15,-0.012033974
258,1901-07-15,-0.05650207
259,1901-08-15,-0.12343424
260,1901-09-15,-0.12126393
261,1901-10-15,-0.14599085
262,1901-11-15,-0.087414496
263,1901-12-15,-0.1784804
264,1902-01-15,-0.20933576
